Time;Logos
America-MG;https://logodetimes.com/times/america-mineiro/logo-america-mineiro-512.png
America-RN;https://clubecerto.com.br/americadenatal/images/logo_america.png
Athletico-PR;https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-512.png
Atletico-GO;https://logodetimes.com/times/atletico-goianiense/logo-atletico-goianiense-512.png
Atletico-MG;https://logodetimes.com/times/atletico-mineiro/logo-atletico-mineiro-512.png
Avai;https://logodetimes.com/times/avai/logo-avai-512.png
Bahia;https://logodetimes.com/times/bahia/logo-bahia-512.png
Barueri;https://upload.wikimedia.org/wikipedia/pt/a/af/Grêmio_Barueri.png
Botafogo-RJ;https://logodetimes.com/times/botafogo/logo-botafogo-512.png
Bragantino;https://logodetimes.com/times/bragantino/logo-bragantino-512.png
Brasiliense;https://brasiliense-webserver.storage.googleapis.com/wp-content/uploads/2023/03/04192135/Escrudo-Oficial-Brasiliense.png
CSA;https://logodetimes.com/times/csa/logo-csa-512.png
Ceara;https://logodetimes.com/times/ceara/logo-ceara-512.png
Chapecoense;https://logodetimes.com/times/chapecoense/logo-chapecoense-512.png
Corinthians;https://logodetimes.com/times/corinthians/logo-corinthians-512.png
Coritiba;https://logodetimes.com/times/coritiba/logo-coritiba-512.png
Criciuma;https://logodetimes.com/times/criciuma/logo-criciuma-4.png
Cruzeiro;https://logodetimes.com/times/cruzeiro/logo-cruzeiro-512.png
Cuiaba;https://logodetimes.com/times/cuiaba/logo-cuiaba-512.png
Figueirense;https://logodetimes.com/times/figueirense/logo-figueirense-512.png
Flamengo;https://logodetimes.com/times/flamengo/logo-flamengo-512.png
Fluminense;https://logodetimes.com/times/fluminense/logo-fluminense-512.png
Fortaleza;https://logodetimes.com/times/fortaleza/logo-fortaleza-512.png
Goias;https://logodetimes.com/times/goias/logo-goias-esporte-clube-512.png
Gremio;https://logodetimes.com/times/gremio/logo-gremio-512.png
Gremio Prudente;https://media.gazetadopovo.com.br/2010/03/ad6071528a66a9ec7ac712d4d759a8b3-full.jpg
Guarani;https://logodetimes.com/times/guarani/logo-guarani-512.png
Internacional;https://logodetimes.com/times/internacional/logo-internacional-512.png
Ipatinga;https://upload.wikimedia.org/wikipedia/pt/9/95/IpatingaFC.png
Joinville;https://upload.wikimedia.org/wikipedia/pt/3/31/Joinville-SC.png
Juventude;https://logodetimes.com/times/juventude/logo-juventude-512.png
Nautico;https://logodetimes.com/times/nautico/logo-nautico-512.png
Palmeiras;https://logodetimes.com/times/palmeiras/logo-palmeiras-512.png
Parana;https://logodetimes.com/times/parana/logo-parana-512.png
Paysandu;https://logodetimes.com/times/paysandu/logo-paysandu-4.png
Ponte Preta;https://logodetimes.com/times/ponte-preta/logo-ponte-preta-512.png
Portuguesa;https://logodetimes.com/times/portuguesa-rj/logo-portuguesa-rj-512.png
Santa Cruz;https://logodetimes.com/times/santa-cruz/logo-santa-cruz-512.png
Santo Andre;https://logodetimes.com/times/santo-andre/logo-santo-andre-512.png
Santos;https://logodetimes.com/times/santos/logo-santos-512.png
Sao Caetano;https://logodetimes.com/times/sao-caetano/logo-sao-caetano-512.png
Sao Paulo;https://logodetimes.com/times/sao-paulo/logo-sao-paulo-512.png
Sport;https://logodetimes.com/times/sport-recife/logo-sport-recife-512.png
Vasco;https://logodetimes.com/times/vasco-da-gama/logo-vasco-da-gama-512.png
Vitoria;https://logodetimes.com/times/vitoria/logo-vitoria-512.png
